йыдийос (ломадийос аяихлос еццяажгс);еидос йимгсгс (11=сульгжистийг, 12=ацояым-енодым, 13=пыкгсеым, 14=талеиайг;йепуо (0=╪ви, 1=пыкгсеым, 2=ацояым);уповяеысг упобокгс (0=уповяеос,1=лг уповяеос);йыдийос сумаккассолемоу;глеяолгмиа;аитиокоциа;паяастатийо;аниа йепуо уповяеоу;жпа йепуо;коцаяиаслос;(0=вяеысг,1=пистысг);аниа;паяастатийо аяхяоу;аитиокоциа аяхяоу;йЫДИЙЭР тАЛЕИАЙчР ('ЙЕМО' = ВЕИЯЭЦЯАЖА ч 'йЫДИЙЭ ТАЛЕИАЙчР');кОИПщР дАПэМЕР;тАУТЭТГТА кИАМИЙЧМ (0=╪ви,1=маи);аЙУЯЫЛщМО;пЕДъО оЛАДОПОъГСГР аЙЩЯЫСГР
24;14;0;0;40;1/1/2018;аIтиокоциа 24;паяастатийо 24;0;0;50-00-00-0002;0;8,65;паяастатийо 24;аIтиокоциа 24;;;;;
28;12;2;0;61;1/1/2018;аIтиокоциа 28;паяастатийо 28;0,03;0;14-08-01-0013;0;0,03;паяастатийо 28;аIтиокоциа 28;;;;;
28;12;2;0;61;1/1/2018;аIтиокоциа 28;паяастатийо 28;0,03;0;50-00-00-0003;1;0,03;паяастатийо 28;аIтиокоциа 28;;;;;
29;14;0;0;61;1/1/2018;аIтиокоциа 29;паяастатийо 29;0;0;38-00-00-0000;1;0,03;паяастатийо 29;аIтиокоциа 29;;;;;
29;14;0;0;61;1/1/2018;аIтиокоциа 29;паяастатийо 29;0;0;50-00-00-0003;0;0,03;паяастатийо 29;аIтиокоциа 29;;;;;
34;12;2;0;3101;1/1/2018;аIтиокоциа 34;паяастатийо 34;56,75;7,38;50-00-00-0000;1;64,13;паяастатийо 34;аIтиокоциа 34;;;;;
34;12;2;0;3101;1/1/2018;аIтиокоциа 34;паяастатийо 34;56,75;7,38;14-32-01-0013;0;56,75;паяастатийо 34;аIтиокоциа 34;;;;;
34;12;2;0;3101;1/1/2018;аIтиокоциа 34;паяастатийо 34;56,75;7,38;54-00-28-0013;0;7,38;паяастатийо 34;аIтиокоциа 34;;;;;
38;12;2;0;3538;1/1/2018;аIтиокоциа 38;паяастатийо 38;196,8;17,2;64-02-07-0013;0;76,99;паяастатийо 38;аIтиокоциа 38;;;;;
38;12;2;0;3538;1/1/2018;аIтиокоциа 38;паяастатийо 38;196,8;17,2;64-02-07-0006;0;119,81;паяастатийо 38;аIтиокоциа 38;;;;;
38;12;2;0;3538;1/1/2018;аIтиокоциа 38;паяастатийо 38;196,8;17,2;54-00-29-0006;0;7,19;паяастатийо 38;аIтиокоциа 38;;;;;
38;12;2;0;3538;1/1/2018;аIтиокоциа 38;паяастатийо 38;196,8;17,2;54-00-29-0013;0;10,01;паяастатийо 38;аIтиокоциа 38;;;;;
38;12;2;0;3538;1/1/2018;аIтиокоциа 38;паяастатийо 38;196,8;17,2;50-00-00-0005;1;214;паяастатийо 38;аIтиокоциа 38;;;;;
42;12;2;0;3100;1/1/2018;аIтиокоциа 42;паяастатийо 42;74,12;9,63;64-07-03-0013;0;74,12;паяастатийо 42;аIтиокоциа 42;;;;;
42;12;2;0;3100;1/1/2018;аIтиокоциа 42;паяастатийо 42;74,12;9,63;54-00-29-0013;0;9,63;паяастатийо 42;аIтиокоциа 42;;;;;
42;12;2;0;3100;1/1/2018;аIтиокоциа 42;паяастатийо 42;74,12;9,63;50-00-00-0014;1;83,75;паяастатийо 42;аIтиокоциа 42;;;;;
45;12;0;0;60;1/1/2018;аIтиокоциа 45;паяастатийо 45;0;0;50-00-00-0006;1;172,62;паяастатийо 45;аIтиокоциа 45;;;;;
45;12;0;0;60;1/1/2018;аIтиокоциа 45;паяастатийо 45;0;0;62-03-00-0013;0;146,46;паяастатийо 45;аIтиокоциа 45;;;;;
45;12;0;0;60;1/1/2018;аIтиокоциа 45;паяастатийо 45;0;0;63-98-99-0000;0;7,12;паяастатийо 45;аIтиокоциа 45;;;;;
45;12;0;0;60;1/1/2018;аIтиокоциа 45;паяастатийо 45;0;0;54-00-29-0013;0;19,04;паяастатийо 45;аIтиокоциа 45;;;;;
47;12;0;0;60;1/1/2018;аIтиокоциа 47;паяастатийо 47;0;0;50-00-00-0006;1;95,62;паяастатийо 47;аIтиокоциа 47;;;;;
47;12;0;0;60;1/1/2018;аIтиокоциа 47;паяастатийо 47;0;0;62-03-00-0013;0;78,32;паяастатийо 47;аIтиокоциа 47;;;;;
47;12;0;0;60;1/1/2018;аIтиокоциа 47;паяастатийо 47;0;0;54-00-29-0013;0;10,18;паяастатийо 47;аIтиокоциа 47;;;;;
47;12;0;0;60;1/1/2018;аIтиокоциа 47;паяастатийо 47;0;0;63-98-99-0000;0;7,12;паяастатийо 47;аIтиокоциа 47;;;;;
49;12;0;0;60;1/1/2018;аIтиокоциа 49;паяастатийо 49;0;0;50-00-00-0006;1;99,12;паяастатийо 49;аIтиокоциа 49;;;;;
49;12;0;0;60;1/1/2018;аIтиокоциа 49;паяастатийо 49;0;0;62-03-00-0013;0;81,42;паяастатийо 49;аIтиокоциа 49;;;;;
49;12;0;0;60;1/1/2018;аIтиокоциа 49;паяастатийо 49;0;0;63-98-99-0000;0;7,12;паяастатийо 49;аIтиокоциа 49;;;;;
49;12;0;0;60;1/1/2018;аIтиокоциа 49;паяастатийо 49;0;0;54-00-29-0013;0;10,58;паяастатийо 49;аIтиокоциа 49;;;;;
51;12;0;0;60;1/1/2018;аIтиокоциа 51;паяастатийо 51;0;0;50-00-00-0006;1;73,62;паяастатийо 51;аIтиокоциа 51;;;;;
51;12;0;0;60;1/1/2018;аIтиокоциа 51;паяастатийо 51;0;0;62-03-00-0013;0;58,85;паяастатийо 51;аIтиокоциа 51;;;;;
51;12;0;0;60;1/1/2018;аIтиокоциа 51;паяастатийо 51;0;0;63-98-99-0000;0;7,12;паяастатийо 51;аIтиокоциа 51;;;;;
51;12;0;0;60;1/1/2018;аIтиокоциа 51;паяастатийо 51;0;0;54-00-29-0013;0;7,65;паяастатийо 51;аIтиокоциа 51;;;;;
53;12;0;0;60;1/1/2018;аIтиокоциа 53;паяастатийо 53;0;0;50-00-00-0006;1;36,5;паяастатийо 53;аIтиокоциа 53;;;;;
53;12;0;0;60;1/1/2018;аIтиокоциа 53;паяастатийо 53;0;0;54-00-29-0013;0;4,17;паяастатийо 53;аIтиокоциа 53;;;;;
53;12;0;0;60;1/1/2018;аIтиокоциа 53;паяастатийо 53;0;0;62-03-00-0013;0;32,33;паяастатийо 53;аIтиокоциа 53;;;;;
55;12;2;0;61;1/1/2018;аIтиокоциа 55;паяастатийо 55;432,55;82,18;50-00-00-0003;1;514,73;паяастатийо 55;аIтиокоциа 55;;;;;
55;12;2;0;61;1/1/2018;аIтиокоциа 55;паяастатийо 55;432,55;82,18;62-03-00-0019;0;432,55;паяастатийо 55;аIтиокоциа 55;;;;;
55;12;2;0;61;1/1/2018;аIтиокоциа 55;паяастатийо 55;432,55;82,18;54-00-29-0019;0;82,18;паяастатийо 55;аIтиокоциа 55;;;;;
57;12;2;0;3098;1/1/2018;аIтиокоциа 57;паяастатийо 57;755;98,15;14-09-01-0013;0;755;паяастатийо 57;аIтиокоциа 57;;;;;
57;12;2;0;3098;1/1/2018;аIтиокоциа 57;паяастатийо 57;755;98,15;54-00-28-0013;0;98,15;паяастатийо 57;аIтиокоциа 57;;;;;
57;12;2;0;3098;1/1/2018;аIтиокоциа 57;паяастатийо 57;755;98,15;50-00-00-0012;1;853,15;паяастатийо 57;аIтиокоциа 57;;;;;
61;12;2;0;3099;1/1/2018;аIтиокоциа 61;паяастатийо 61;140;18,2;62-07-04-0013;0;140;паяастатийо 61;аIтиокоциа 61;;;;;
61;12;2;0;3099;1/1/2018;аIтиокоциа 61;паяастатийо 61;140;18,2;54-00-29-0013;0;18,2;паяастатийо 61;аIтиокоциа 61;;;;;
61;12;2;0;3099;1/1/2018;аIтиокоциа 61;паяастатийо 61;140;18,2;50-00-00-0013;1;158,2;паяастатийо 61;аIтиокоциа 61;;;;;
63;12;2;0;3098;1/1/2018;аIтиокоциа 63;паяастатийо 63;1600;208;14-09-01-0013;0;1600;паяастатийо 63;аIтиокоциа 63;;;;;
63;12;2;0;3098;1/1/2018;аIтиокоциа 63;паяастатийо 63;1600;208;54-00-28-0013;0;208;паяастатийо 63;аIтиокоциа 63;;;;;
63;12;2;0;3098;1/1/2018;аIтиокоциа 63;паяастатийо 63;1600;208;50-00-00-0012;1;1808;паяастатийо 63;аIтиокоциа 63;;;;;
65;12;2;0;3453;1/1/2018;аIтиокоциа 65;паяастатийо 65;10,08;1,92;14-09-01-0019;0;10,08;паяастатийо 65;аIтиокоциа 65;;;;;
65;12;2;0;3453;1/1/2018;аIтиокоциа 65;паяастатийо 65;10,08;1,92;54-00-28-0019;0;1,92;паяастатийо 65;аIтиокоциа 65;;;;;
65;12;2;0;3453;1/1/2018;аIтиокоциа 65;паяастатийо 65;10,08;1,92;50-00-00-0011;1;12;паяастатийо 65;аIтиокоциа 65;;;;;
66;14;0;0;3453;1/1/2018;аIтиокоциа 66;паяастатийо 66;0;0;38-00-00-0000;1;12;паяастатийо 66;аIтиокоциа 66;;;;;
66;14;0;0;3453;1/1/2018;аIтиокоциа 66;паяастатийо 66;0;0;50-00-00-0011;0;12;паяастатийо 66;аIтиокоциа 66;;;;;
68;12;2;0;3097;1/1/2018;аIтиокоциа 68;паяастатийо 68;129,72;16,86;11-32-01-0013;0;129,72;паяастатийо 68;аIтиокоциа 68;;;;;
68;12;2;0;3097;1/1/2018;аIтиокоциа 68;паяастатийо 68;129,72;16,86;54-00-28-0013;0;16,86;паяастатийо 68;аIтиокоциа 68;;;;;
68;12;2;0;3097;1/1/2018;аIтиокоциа 68;паяастатийо 68;129,72;16,86;50-00-00-0010;1;146,58;паяастатийо 68;аIтиокоциа 68;;;;;
70;12;2;0;3096;1/1/2018;аIтиокоциа 70;паяастатийо 70;161,55;9,69;64-98-00-0013;0;161,55;паяастатийо 70;аIтиокоциа 70;;;;;
70;12;2;0;3096;1/1/2018;аIтиокоциа 70;паяастатийо 70;161,55;9,69;54-00-29-0013;0;9,69;паяастатийо 70;аIтиокоциа 70;;;;;
70;12;2;0;3096;1/1/2018;аIтиокоциа 70;паяастатийо 70;161,55;9,69;50-00-00-0009;1;171,24;паяастатийо 70;аIтиокоциа 70;;;;;
72;12;0;0;90;1/1/2018;аIтиокоциа 72;паяастатийо 72;0;0;50-00-00-0007;1;1177;паяастатийо 72;аIтиокоциа 72;;;;;
72;12;0;0;90;1/1/2018;аIтиокоциа 72;паяастатийо 72;0;0;54-00-29-0006;0;32,95;паяастатийо 72;аIтиокоциа 72;;;;;
72;12;0;0;90;1/1/2018;аIтиокоциа 72;паяастатийо 72;0;0;62-98-00-0006;0;547,59;паяастатийо 72;аIтиокоциа 72;;;;;
72;12;0;0;90;1/1/2018;аIтиокоциа 72;паяастатийо 72;0;0;63-04-00-0000;0;596,46;паяастатийо 72;аIтиокоциа 72;;;;;
74;12;2;0;3429;1/1/2018;аIтиокоциа 74;паяастатийо 74;27,38;3,5;62-03-00-0013;0;26,88;паяастатийо 74;аIтиокоциа 74;;;;;
74;12;2;0;3429;1/1/2018;аIтиокоциа 74;паяастатийо 74;27,38;3,5;54-00-29-0013;0;3,5;паяастатийо 74;аIтиокоциа 74;;;;;
74;12;2;0;3429;1/1/2018;аIтиокоциа 74;паяастатийо 74;27,38;3,5;50-00-00-0008;1;30,88;паяастатийо 74;аIтиокоциа 74;;;;;
74;12;2;0;3429;1/1/2018;аIтиокоциа 74;паяастатийо 74;27,38;3,5;65-98-01-0000;0;0,5;паяастатийо 74;аIтиокоциа 74;;;;;
75;14;0;0;3429;1/1/2018;аIтиокоциа 75;паяастатийо 75;0;0;38-00-00-0000;1;30,88;паяастатийо 75;аIтиокоциа 75;;;;;
75;14;0;0;3429;1/1/2018;аIтиокоциа 75;паяастатийо 75;0;0;50-00-00-0008;0;30,88;паяастатийо 75;аIтиокоциа 75;;;;;
77;12;2;0;3429;1/1/2018;аIтиокоциа 77;паяастатийо 77;13,94;1,75;62-03-00-0013;0;13,44;паяастатийо 77;аIтиокоциа 77;;;;;
77;12;2;0;3429;1/1/2018;аIтиокоциа 77;паяастатийо 77;13,94;1,75;54-00-29-0013;0;1,75;паяастатийо 77;аIтиокоциа 77;;;;;
77;12;2;0;3429;1/1/2018;аIтиокоциа 77;паяастатийо 77;13,94;1,75;65-98-01-0000;0;0,5;паяастатийо 77;аIтиокоциа 77;;;;;
77;12;2;0;3429;1/1/2018;аIтиокоциа 77;паяастатийо 77;13,94;1,75;50-00-00-0008;1;15,69;паяастатийо 77;аIтиокоциа 77;;;;;
78;14;0;0;3429;1/1/2018;аIтиокоциа 78;паяастатийо 78;0;0;38-00-00-0000;1;15,69;паяастатийо 78;аIтиокоциа 78;;;;;
78;14;0;0;3429;1/1/2018;аIтиокоциа 78;паяастатийо 78;0;0;50-00-00-0008;0;15,69;паяастатийо 78;аIтиокоциа 78;;;;;
846;11;0;0;;1/1/2018;аIтиокоциа 846;758;0;0;52-02-00-0758;1;869,44;758;аIтиокоциа 846;;;;;
846;11;0;0;;1/1/2018;аIтиокоциа 846;758;0;0;65-00-00-0758;0;869,44;758;аIтиокоциа 846;;;;;
846;11;0;0;;1/1/2018;аIтиокоциа 846;758;0;0;65-00-00-0758;0;869,44;758;аIтиокоциа 846;;;;;
846;11;0;0;;1/1/2018;аIтиокоциа 846;758;0;0;52-02-00-0758;1;869,44;758;аIтиокоциа 846;;;;;
846;11;0;0;;1/1/2018;аIтиокоциа 846;758;0;0;52-02-00-0758;1;2635,12;758;аIтиокоциа 846;;;;;
846;11;0;0;;1/1/2018;аIтиокоциа 846;758;0;0;65-00-00-0758;0;2635,12;758;аIтиокоциа 846;;;;;
846;11;0;0;;1/1/2018;аIтиокоциа 846;758;0;0;65-00-00-0758;0;869,44;758;аIтиокоциа 846;;;;;
846;11;0;0;;1/1/2018;аIтиокоциа 846;758;0;0;52-02-00-0758;1;869,44;758;аIтиокоциа 846;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;30-90-00-0000;0;495,36;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;73-06-00-0002;1;99,06;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;73-13-00-0001;1;0,1;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;73-13-00-0004;1;252,21;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;73-13-00-0008;1;13,27;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;70-03-00-0000;1;9,6;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;70-03-00-0003;1;11,65;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;70-03-00-0006;1;43,87;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;70-03-00-0013;1;19,6;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;54-00-73-0006;1;5,94;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;54-00-73-0013;1;34,53;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;54-00-70-0003;1;0,35;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;54-00-70-0006;1;2,63;M/C.2;аIтиокоциа 2557;;;;;
2557;11;0;0;;1/1/2018;аIтиокоциа 2557;M/C.2;0;0;54-00-70-0013;1;2,55;M/C.2;аIтиокоциа 2557;;;;;
2577;12;2;0;3138;1/1/2018;аIтиокоциа 2577;тп.255;79,44;10,33;25-05-02-0013;0;79,44;тп.255;аIтиокоциа 2577;;;;;
2577;12;2;0;3138;1/1/2018;аIтиокоциа 2577;тп.255;79,44;10,33;50-00-00-0142;1;89,77;тп.255;аIтиокоциа 2577;;;;;
2577;12;2;0;3138;1/1/2018;аIтиокоциа 2577;тп.255;79,44;10,33;54-00-25-0013;0;10,33;тп.255;аIтиокоциа 2577;;;;;
2580;12;2;0;3473;1/1/2018;аIтиокоциа 2580;тп-да.2606;64,19;3,85;20-01-01-0006;0;64,19;тп-да.2606;аIтиокоциа 2580;;;;;
2580;12;2;0;3473;1/1/2018;аIтиокоциа 2580;тп-да.2606;64,19;3,85;50-00-00-0140;1;68,04;тп-да.2606;аIтиокоциа 2580;;;;;
2580;12;2;0;3473;1/1/2018;аIтиокоциа 2580;тп-да.2606;64,19;3,85;54-00-20-0006;0;3,85;тп-да.2606;аIтиокоциа 2580;;;;;
2582;12;2;0;3147;1/1/2018;аIтиокоциа 2582;тп-да.7992;39,6;5,15;20-01-01-0013;0;39,6;тп-да.7992;аIтиокоциа 2582;;;;;
2582;12;2;0;3147;1/1/2018;аIтиокоциа 2582;тп-да.7992;39,6;5,15;50-00-00-0138;1;44,75;тп-да.7992;аIтиокоциа 2582;;;;;
2582;12;2;0;3147;1/1/2018;аIтиокоциа 2582;тп-да.7992;39,6;5,15;54-00-20-0013;0;5,15;тп-да.7992;аIтиокоциа 2582;;;;;
2584;12;2;0;3509;1/1/2018;аIтиокоциа 2584;тп-да.7890;67,08;4,02;20-01-01-0006;0;67,08;тп-да.7890;аIтиокоциа 2584;;;;;
2584;12;2;0;3509;1/1/2018;аIтиокоциа 2584;тп-да.7890;67,08;4,02;50-00-00-0112;1;71,1;тп-да.7890;аIтиокоциа 2584;;;;;
2584;12;2;0;3509;1/1/2018;аIтиокоциа 2584;тп-да.7890;67,08;4,02;54-00-20-0006;0;4,02;тп-да.7890;аIтиокоциа 2584;;;;;
2586;12;2;0;3473;1/1/2018;аIтиокоциа 2586;тп-да.2470;39,08;2,34;20-01-01-0006;0;39,08;тп-да.2470;аIтиокоциа 2586;;;;;
2586;12;2;0;3473;1/1/2018;аIтиокоциа 2586;тп-да.2470;39,08;2,34;50-00-00-0140;1;41,42;тп-да.2470;аIтиокоциа 2586;;;;;
2586;12;2;0;3473;1/1/2018;аIтиокоциа 2586;тп-да.2470;39,08;2,34;54-00-20-0006;0;2,34;тп-да.2470;аIтиокоциа 2586;;;;;
229;13;1;0;3435;1/1/2018;аIтиокоциа 229;паяастатийо 229;1700;221;30-00-00-0001;0;1921;паяастатийо 229;аIтиокоциа 229;;;;;
229;13;1;0;3435;1/1/2018;аIтиокоциа 229;паяастатийо 229;1700;221;75-02-00-0013;1;1700;паяастатийо 229;аIтиокоциа 229;;;;;
229;13;1;0;3435;1/1/2018;аIтиокоциа 229;паяастатийо 229;1700;221;54-00-75-0013;1;221;паяастатийо 229;аIтиокоциа 229;;;;;
26177;13;1;1;3251;1/1/2018;аIтиокоциа 26177;п/т.52;-310,9;-25,1;30-01-00-0003;1;336;п/т.52;аIтиокоциа 26177;;;;;
26177;13;1;1;3251;1/1/2018;аIтиокоциа 26177;п/т.52;-310,9;-25,1;73-98-00-0005;1;-224;п/т.52;аIтиокоциа 26177;;;;;
26177;13;1;1;3251;1/1/2018;аIтиокоциа 26177;п/т.52;-310,9;-25,1;54-00-73-0005;1;-11,2;п/т.52;аIтиокоциа 26177;;;;;
26177;13;1;1;3251;1/1/2018;аIтиокоциа 26177;п/т.52;-310,9;-25,1;73-98-00-0016;1;-86,9;п/т.52;аIтиокоциа 26177;;;;;
26177;13;1;1;3251;1/1/2018;аIтиокоциа 26177;п/т.52;-310,9;-25,1;54-00-73-0016;1;-13,9;п/т.52;аIтиокоциа 26177;;;;;
